Major,Types,Activated,Unactivated,Activation_Rate
Accounting and Tax,['AC'],6.0,33.0,15.4
Admin Specialist - Bookkeeping & Accounting Emphasis,['AAS'],4.0,29.0,12.1
Admin Specialist - Marketing Communications Emphasis,['AAS'],5.0,12.0,29.4
Admin Specialist - Medical Admin Support Emphasis,['AAS'],2.0,13.0,13.3
Administrative Specialist,['AAS'],7.0,36.0,16.3
Advanced Mechatronics Engineering Technology,['AAS' 'BTC'],37.5,76.0,34.2
"Agricultural Business, Leadership, and Education",['AA'],7.0,66.0,9.6
Agriculture,[None],1.0,0.0,100.0
Animal Veterinary Sciences,['AS'],19.0,173.0,9.9
Anthropology,['AA'],8.0,41.0,16.3
Applied Technology and Apprenticeship,['AAS'],2.0,23.0,8.0
Auto Body Technology,['AAS' 'ATC' 'BTC2' 'ITC'],0.25,5.25,2.5
Automotive Technology,['AAS' 'ATC' 'ITC'],28.33,105.33,20.17
Biology,[None],1.0,0.0,100.0
Biology -,['AS'],27.0,164.0,14.1
"Biology - Cellular, Molecular & Biomedical Sciences Emph",['AS'],11.0,85.0,11.5
Biology - General,['AS'],2.0,9.0,18.2
Biology - Healthcare Emphasis,['AS'],1.0,12.0,7.7
Biology - Human Biology,['AS'],0.0,9.0,0.0
Biology - Human Biology Emphasis,['AS'],27.0,283.0,8.7
Biology - Natural Resources,['AS'],0.0,3.0,0.0
Biology - Natural Resources Emphasis,['AS'],25.0,87.0,22.3
"Biology-Microbiological, Molecular & Biomedical Sciences",['AS'],0.0,1.0,0.0
Biotechnology Laboratory Assistant,['AC'],0.0,3.0,0.0
Bookkeeping and Accounting,['AAS' 'ATC'],5.5,41.5,6.25
BUSINESS,['AA'],117.0,1139.0,9.3
Business Analytics,['AC'],4.0,20.0,16.7
Business Technology,['BTC'],3.0,17.0,15.0
Business Writing,['BTC'],1.0,10.0,9.1
Chemistry,['AS'],12.0,55.0,17.9
Cisco Networking and Security Technologies,['AAS' 'ATC' 'BTC'],1.67,13.0,5.73
Collision Repair Technology,['AAS' 'ATC' 'BTC' 'BTC1' 'BTC2' 'ITC'],0.5,15.0,2.55
Communication,['AA'],20.0,86.0,18.9
Computer Science,['AS'],56.0,373.0,13.1
Computer Support Specialist,['AAS' 'ATC' 'ITC'],4.0,18.33,24.2
